南瓜子|红宝书必考词U14带背笔记,,,,,
单词,词性,常见含义,考研高频考法,自测例句,巧记方法（仅供参考）
ignore,v.,忽视；不理会,多与问题、警告、他人意见等搭配，如ignore the problem（忽视问题）；ignore advice（不理会建议）；在行为描述类文章中高频出现,He ignored her completely.,谐音一个闹——对一个闹的人不理睬，就是忽视、不理睬
ill,adj./adv.,生病的；坏的；邪恶地,作形容词时，常指生病的（如fall ill（生病））；也可指坏的（如ill effects（不良影响））；作副词时，如speak ill of（说……坏话）,He looks ill today.,谐音医哦—— 生病时会喊医哦（医生啊），所以ill就是生病的也可以记它的延伸义：生病是坏的状态，比如ill effects（不良影响）
illness,n.,疾病,常与健康、医疗话题相关，如suffer from a serious illness（患重病）；mental illness（精神疾病），在科普或社会类文章中常见,She suffers from a rare illness.,ill（生病）+ness——生病的状态，就是疾病
illusion,n.,错觉；幻想,常与心理、认知话题相关，如visual illusion（视觉错觉）；也可指幻想，如the illusion of happiness（幸福的幻想），在哲学或心理类文章中出现,It was only an illusion.,谐音一路神——一路都像有神明，其实是错觉、幻觉
illustrate,v.,阐明；插图,常与观点、理论搭配，如illustrate a point（阐明观点）；在学术文章中，常用illustrate with examples（举例说明），也可指配图（如illustrate a book（给书配图））,She illustrated the concept well.,拆成il+lustr（光）+ate——用光照亮说明白，所以illustrate是说明、举例
illustration,n.,插图；例证,对应illustrate的名词形式，如by way of illustration（作为例证）；也指插图，如book illustrations（书籍插图），在说明类文章中常见,This book has many illustrations.,illustrate（说明）+ion——说明的东西，就是例证、插图
image,n./v.,图像；形象；反映,可指形象（如public image（公众形象））；影像（如digital image（数字图像））；也可指印象，如the image of a country（一个国家的印象），在媒体、社会类文章中高频出现,She has a strong brand image.,谐音一亩橘——一亩橘的影像很清晰，所以image是形象、影像
imagine,v.,想象,常与虚拟、假设场景相关，如imagine a world without war（想象一个没有战争的世界）；也可指料想（如I didn't imagine he would come（我没料到他会来）），在议论或记叙文中常见,I can’t imagine living there.,image（影像）+ine——在脑子里造影像，就是想象、设想
imaginary,adj.,虚构的；想象中的,强调非真实的，如imaginary characters（虚构的人物）；imaginary world（想象中的世界），多与文学、艺术话题相关,The threat was imaginary.,imagine（想象）+ary——想象出来的，就是虚构的、想象中的
imagination,n.,想象力,常与创造力、艺术话题相关，如have a good imagination（有丰富的想象力）；也可指想象（如beyond imagination（超出想象）），在教育或文化类文章中出现,Imagination fuels creativity.,imagine（想象）+ation——想象的能力，就是想象力、幻想
imaginative,adj.,富有想象力的,多形容人或作品，如an imaginative writer（富有想象力的作家）；imaginative ideas（创新的想法），在评价类文章中常见,She’s a very imaginative writer.,imagination（想象）+ative——有想象力的，就是富有想象力的
imitate,v.,模仿,常与行为、艺术相关，如imitate one's style（模仿某人的风格）；imitate a sound（模仿声音）；也可指仿造（如imitate a famous brand（仿造名牌）），在社会或艺术类文章中出现,He imitates his brother’s voice.,谐音一抹贴——一抹一贴模仿原样，所以imitate是模仿、仿造
imitation,n.,模仿；仿制品,对应imitate的名词形式，如the imitation of nature（对自然的模仿）；也指仿制品（如a cheap imitation（廉价仿制品）），在商业或艺术类文章中常见,The bag is just an imitation.,imitate（模仿）+tion——模仿的行为或结果，就是模仿、仿制品
lead,v./n.,领导；导致；铅,作动词时，常考lead to（导致）（如lead to success（导致成功））；lead sb. to do sth.（引导某人做某事）；作名词时，如take the lead（领先），在各类话题中均高频出现,This path leads to the park.,发音类似立的—— 站在前面立着引导大家，对应领导、带领的意思比如lead a team（带领团队），想象一个人站在队伍前面立着指挥
leadership,n.,领导力,常与团队、组织、社会话题相关，如effective leadership（有效的领导）；take on leadership（承担领导职责），在管理或社会类文章中常见,She has great leadership skills.,lead（领导）+ership——领导的能力或地位，就是领导力、领导地位
leading,adj.,主要的；最重要的,常修饰人物、企业、思想等，如a leading scientist（顶尖科学家）；leading companies（领先企业）；leading role（主导作用），在描述行业或领域佼佼者时高频出现,She played a leading role.,lead（领先）+ing——领先的，就是主要的、顶尖的
legal,adj.,法律的；合法的,常与法律、权利话题相关，如legal advice（法律建议）；legal rights（合法权利）；也可指法定的（如legal age（法定年龄）），在法律或社会类文章中常见,It’s not legal to park here.,谐音理够——道理够了才合法，所以legal是法律的、合法的
legislation,n.,立法；法律,多与政府、政策话题相关，如pass new legislation（通过新法规）；environmental legislation（环境法规），在政治或社会类文章中出现,New legislation was introduced.,legal（法律）+is+lation——制定法律的过程，就是立法、法规
legitimate,adj.,合法的；正当的,作形容词时，强调正当合理的（如legitimate concerns（合理的担忧））；也可指合法的（近义legal，但更强调正当性）；作动词时，如legitimate a government（使政府合法化），在政治或议论类文章中常见,That’s a legitimate question.,拆成leg（法律）+it+mate（伙伴）——法律的伙伴是合法的、正当的
leisure,n.,空闲；休闲,常与生活、娱乐话题相关，如leisure time（闲暇时间）；leisure activities（休闲活动），在社会或生活类文章中出现,He enjoys reading in his leisure time.,发音类似来事儿的反向——不来事儿的时候，就是空闲、休闲的状态，对应闲暇、休闲的意思
level,n./adj./v.,水平；等高的；对准,作名词时，如education level（教育水平）；high level（高水平）；作形容词时，如level playing field（公平竞争环境）；作动词时，如level the ground（平整土地），在各类话题中均常见,The road was leveled.,联想乐高（Lego）——乐高积木要放平，所以level是水平、等级
lever,n./v.,杠杆；控制手段；操纵,作名词时，可指杠杆（物理概念）；也可指手段（如use diplomacy as a lever（以外交为手段））；作动词时，如lever open a door（撬开一扇门），在科技或议论类文章中出现,Use a lever to lift the box.,谐音拉我——拉我的杆子就是杠杆，也指手段
levy,n./v.,征收（税）,多与财政、税收话题相关，如levy taxes（征税）；impose a levy（征收税款），在经济或政治类文章中常见,The government levied new duties.,谐音累费——征税让人累，所以levy是征收、税款
manage,v.,管理；应对,常考manage to do sth.（设法做到某事）；也可指管理（如manage a company（管理公司）），在商业或生活类文章中高频出现,She managed the project well.,谐音man（人）+age（年龄）——人到一定年龄会管理、设法做到
management,n.,管理；管理层,对应manage的名词形式，如business management（企业管理）；the management（管理层），在商业或管理类文章中常见,He studied business management.,manage（管理）+ment——管理的行为或团队，就是管理、管理层
mandate,n./v.,授权；命令,作名词时，常与政府、机构相关，如the president's mandate（总统的任期授权）；作动词时，如mandate a new policy（下令推行新政策），在政治或组织类文章中出现,The policy was mandated by law.,谐音慢得——命令下来慢得很，所以mandate是授权、命令
manifest,v./adj.,表明；明显的,作动词时，常与情感、特征搭配，如manifest courage（表现出勇气）；作形容词时，如manifest danger（明显的危险）；作名词时（较生僻），指舱单，在议论或商业类文章中常见动词和形容词用法,His anger was manifest.,拆成man（人）+i+fest（节日）——人在节日里显露出快乐，所以manifest是表明、明显的
manipulate,v.,操控；影响,常带有暗中操控的意味，如manipulate public opinion（操纵舆论）；也可指操作（如manipulate a machine（操作机器））；篡改（如manipulate data（篡改数据）），在政治、科技或议论类文章中常见,He manipulated public opinion.,谐音慢你赔——慢慢操控弄坏要赔，所以manipulate是操纵、操作
manner,n.,方式；举止,常考in a ... manner（以……方式）（如in a polite manner（以礼貌的方式））；也可指举止（如good manners（礼貌举止）），在各类话题中均常见,She spoke in a friendly manner.,谐音慢呐——慢慢做事的方式，就是方式、举止
margin,n.,边缘；利润,可指页边空白（如write notes in the margin（在页边写笔记））；差额（如a narrow margin of victory（微弱的胜利优势））；利润（如gross margin（毛利率）），在文学、经济类文章中常见,They won by a narrow margin.,发音类似马筋，可以想象书页边缘像马筋一样的空白部分——书页的空白边缘就是margin的常见意思（页边距），延伸一下也有差额、余地的意思
marginal,adj.,边缘的；微小的,常指微小的（如marginal changes（微小的变化））；边缘的（如marginal groups（边缘群体）），在经济或社会类文章中出现,The changes are marginal.,margin（边缘）+al——在边缘的，就是微小的、不重要的
mass,n.,大量；群众,作名词时，如a mass of data（大量数据）；the masses（群众）；作形容词时，如mass production（大规模生产），在各类话题中均高频出现,He attracts mass attention.,谐音骂死——一群人（群众）骂死你，所以mass是大量、群众
massive,adj.,巨大的；严重的,强调规模或数量极大，如massive destruction（巨大的破坏）；massive amounts of money（大量资金），在描述灾难、工程或经济现象时常见,The storm caused massive damage.,mass（大量）+ive——大量到极点，就是巨大的、严重的
massacre,n./v.,大屠杀；残杀,多与历史、战争话题相关，如a terrible massacre（可怕的大屠杀）；也可指惨败（如a 5-0 massacre（5比0的惨败）），在历史或体育类文章中出现,Innocent people were massacred.,拆成mass（大量）+acre（英亩）——大量英亩土地上的屠杀，就是大屠杀
occupation,n.,职业；占领,常指职业（近义job，但更正式），如current occupation（当前职业）；也可指占有（如occupation of land（土地的占有））；消遣（如leisure occupation（休闲消遣）），在社会或法律类文章中常见,The building is under occupation.,occupy（占据）+ation——占据时间的事，可能是职业、消遣
occupy,v.,占据；从事,常考占据（时间、空间）（如occupy much time（占用大量时间））；使忙碌（如be occupied with work（忙于工作））；任职（如occupy a position（担任职位）），在各类话题中均常见,He occupies the office upstairs.,谐音我开牌——我开牌时占据桌子，所以occupy是占据、使忙碌
occur,v.,发生,常考occur to sb.（某人想到）（如An idea occurred to me（我想到一个主意））；发生（近义happen，但更正式），如accidents occur（发生事故），在各类话题中高频出现,Accidents occur often here.,谐音我可——我可想到了，所以occur是发生、被想到（occur to sb.）
occurrence,n.,事件；发生,对应occur的名词形式，如the occurrence of earthquakes（地震的发生）；也指事件（如an everyday occurrence（日常事件）），在议论或记叙文中常见,The occurrence shocked everyone.,occur（发生）+rence——发生的事，就是事件、发生
offend,v.,冒犯；违反,常指冒犯他人（如offend sb.（得罪某人））；也可指使不适（如offend the eye（刺眼））；违反（如offend the law（违法）），在社会或法律类文章中常见,He didn’t mean to offend you.,谐音偶犯的——偶尔犯的错会冒犯人，所以offend是冒犯、违反
offer,v./n.,提供；提议,作动词时，如offer help（提供帮助）；offer a suggestion（提出建议）；作名词时，如job offer（工作录取通知）；make an offer（出价），在各类话题中均高频出现,They offered him a job.,联想偶扶（ǒ fú）——偶尔扶人是提供帮助，所以offer是提供、提议
offset,v./n.,抵消；补偿,常指抵消负面影响，如offset losses（弥补损失）；offset the cost（抵消成本），在经济或议论类文章中常见,His gains offset the losses.,拆成off（抵消）+set（设置）——设置来抵消，所以offset是抵消、弥补
offspring,n.,子孙；后代,可指人或动物的后代（如have many offspring（有很多后代））；也可指产物（如the offspring of new technology（新技术的产物）），在生物、社会类文章中出现,Parents care for their offspring.,off（离开）+spring（春天）——离开春天的后代，就是子女、后代
paragraph,n.,段落,主要指段落（如a new paragraph（新段落））；也可指短评（较生僻），在语言、文学类文章中高频出现，是基础词汇,Please write one paragraph.,paragraph发音近似怕若改夫，可以编个小场景：写文章时，段落（paragraph）要是怕被丈夫修改，就先把这一段写好
paralyse,v.,使瘫痪；使无力,可指生理上瘫痪（如paralyse a limb（使肢体瘫痪））；也可指抽象意义上使瘫痪（如paralyse the economy（使经济瘫痪）），在医学或社会类文章中常见,The injury paralysed his leg.,谐音怕来死——怕来的病让人瘫痪，所以paralyse是使瘫痪、使停滞
parallel,adj./n.,平行的；类似的；平行面,作形容词时，如parallel lines（平行线）；parallel experiences（相似的经历）；作名词时，如draw a parallel between（在……之间作比较）；作动词时，如parallel a previous case（与之前的案例相似）,Their lives run in parallel.,联想para（并排）+llel（像两条线）——并排的线是平行的，也指相似的
part,n./v./adv.,部分；分开；部分地,作名词时，常考part of（……的一部分）；角色（如play a part（扮演角色））；作动词时，如part from sb.（与某人分离），是基础词汇，各类话题均高频出现,They parted ways after graduation.,简单词，联想怕他——怕他分开，所以part是部分、分开
partial,adj.,部分的；偏袒的,常指部分的（如partial success（部分成功））；偏袒的（如be partial to sb.（偏袒某人）），在议论或社会类文章中常见,The news report was partial.,part（部分）+ial——只有部分的，就是部分的、偏袒的
participant,n.,参与者,常与活动、研究、会议等搭配，如participants in the experiment（实验参与者）；active participants（积极参与者），在社会或学术类文章中常见,Participants answered the survey.,participate（参加）+ant（表人）——参加的人，就是参与者
participate,v.,参与,常与in搭配，如participate in activities（参加活动）；participate in a discussion（参与讨论），在各类话题中高频出现,She participated in the discussion.,拆成part（部分）+i+cipate——成为一部分就是参加、参与（搭配in）
particle,n.,粒子；微粒,可指物理上的粒子（如atomic particles（原子粒子））；颗粒（如dust particles（尘埃颗粒））；也可指语法上的小品词（如prepositions and particles（介词和小品词）），在科技、语言类文章中常见,Particles floated in the air.,part（部分）+icle（小）——小部分，就是颗粒、粒子
particular,adj./n.,特定的；挑剔的；详情,作形容词时，如a particular case（特定情况）；be particular about（对……挑剔）；作名词时，常以复数形式particulars出现，指细节（如specific particulars（具体细节）），在各类话题中均常见,She’s very particular about food.,谐音怕踢Q乐——怕踢到Q乐的特定瓶子，所以是特定的、挑剔的
partly,adv.,部分地,常用来解释原因或描述状态，如partly because（部分原因是）；partly finished（部分完成），在议论或记叙文中高频出现,He was partly responsible.,part（部分）+ly——部分地，就是在一定程度上
partner,n./v.,搭档；合伙人；做搭档,作名词时，如business partner（商业伙伴）；dance partner（舞伴）；作动词时，如partner with a company（与公司合作），在社会、商业类文章中常见,They became project partners.,part（部分）+ner——成为一部分的伙伴，就是搭档、伙伴
passion,n.,激情；热情,常与爱好、事业搭配，如passion for music（对音乐的热爱）；burning passion（炽热的激情），在人物、情感类文章中常见,She speaks with passion.,谐音怕甚——爱到不怕什么，就是激情、酷爱
passive,adj.,被动的；消极的,常指被动的、不主动的（如passive attitude（消极态度））；也指语法上的被动语态（如passive voice（被动语态）），在议论、语言类文章中常见,He remained passive during discussion.,pass（过）+ive——被动走过，就是被动的、消极的
quick,adj./adv.,快的；敏捷的；迅速地,基础词汇，常指速度快（如quick response（快速反应））；敏捷的（如quick mind（敏捷的思维）），在各类话题中均高频出现,She is quick to learn.,联想快可——快可完成，所以quick是快的、敏捷的
quit,v.,辞职；放弃,常考quit doing sth.（停止做某事）（如quit smoking（戒烟））；辞职（如quit one's job（辞职）），在生活、工作类文章中常见,He quit smoking last year.,谐音愧他——愧对他所以辞职，所以quit是放弃、辞职
quest,n./v.,探索；追求,常与真理、答案、目标搭配，如quest for truth（对真理的探索）；on a quest（在探索中），在哲学、科技类文章中常见,They quested for knowledge.,谐音快死的他——快死的他还在探索，所以quest是探索、寻求
questionnaire,n.,问卷,常与研究、调查话题相关，如design a questionnaire（设计调查问卷）；fill in a questionnaire（填写调查问卷），在社会、学术类文章中高频出现,We designed a new questionnaire.,question（问题）+naire——一堆问题组成的，就是调查问卷
quote,v.,引用；援引,作动词时，如quote a famous saying（引用一句名言）；报价（如quote a price（报价））；作名词时，如a direct quote（直接引语），在学术、商业类文章中常见,He quoted Shakespeare.,谐音括它——用引号括它，就是引用、引述
span,n.,跨度；持续时间,作名词时，如time span（时间跨度）；span of control（管理幅度）；作动词时，如span three decades（跨越三十年），在历史、管理类文章中常见,His career spanned decades.,发音近似死盼，可以联想：死死盼着一段时间跨度（span）结束，或者盼着跨越（span）某个距离
spare,v./adj.,节省；备用的,作形容词时，如spare time（空闲时间）；spare parts（备用零件）；作动词时，如spare no effort（不遗余力）；spare sb.（饶恕某人），在生活、科技类文章中常见,Can you spare a minute?,谐音四掰儿——四个掰下来的是多余的，所以spare是多余的、抽出
schedule,n./v.,日程；安排,作名词时，如daily schedule（日程表）；flight schedule（航班时刻表）；作动词时，如schedule a meeting（安排会议），在生活、商业类文章中高频出现,The event is scheduled for May.,schedule发音近似死盖就，可以编个小逻辑：事情死盖就（必须按计划来），就得看日程表（schedule）
scheme,n./v.,计划；方案；密谋,作名词时，可指计划（如a training scheme（培训计划））；也可指阴谋（如a dishonest scheme（欺诈阴谋））；作动词时，如scheme to do sth.（策划做某事），在商业、政治类文章中常见,They schemed to take control.,谐音斯计么——斯文人的计策，就是计划、阴谋
science,n.,科学,常指科学（如modern science（现代科学））；也可指学科（如social sciences（社会科学）），是基础词汇，在各类科技、学术文章中高频出现,He loves science.,谐音赛因斯——赛过因斯坦的学科，就是科学、学科
scientific,adj.,科学的,常修饰方法、研究、态度等，如scientific method（科学方法）；scientific research（科学研究），在科技、学术类文章中高频出现,She aspired to a scientific career.,science（科学）+ific——科学的，就是科学的、严谨的
scientist,n.,科学家,常与具体领域搭配，如a nuclear scientist（核科学家）；environmental scientists（环境科学家），在科技、学术类文章中常见,She’s a research scientist.,science（科学）+ist（表人）——搞科学的人，就是科学家
